Index,Time,voltage,velocity
27008,54.017270,3144,-1.45385277
27009,54.019295,-16416,-1.65199804
27010,54.021274,16671,-1.79900897
27011,54.023278,213,-1.88849401
27012,54.025269,2474,-1.91406119
27013,54.027271,5997,-1.87677562
27014,54.029273,11007,-1.82138014
27015,54.031296,-15376,-1.79048657
27016,54.033277,2365,-1.81605375
27017,54.035268,-16617,-1.87677562
27018,54.037270,-254,-1.8916899
27019,54.039272,14476,-1.89488566
27020,54.041274,4693,-1.9055388
27021,54.043295,-8869,-1.89488566
27022,54.045274,3028,-1.8586657
27023,54.047276,3089,-1.78409493
27024,54.049278,922,-1.69993651
27025,54.051269,-10518,-1.5678395
27026,54.053273,-17231,-1.33240891
27027,54.055291,-14736,-1.12361085
27028,54.057270,2090,-0.971273303
27029,54.059412,-11495,-0.876461864
27030,54.061278,7985,-0.832784712
27031,54.063271,-14559,-0.879657745
27032,54.065273,13064,-0.992579222
27033,54.067297,-2764,-1.08952129
27034,54.069276,8960,-1.09910893
27035,54.071268,-7275,-1.09910893
27036,54.073272,7803,-1.10017419
27037,54.075274,5734,-1.13959014
27038,54.077276,437,-1.23546696
27039,54.079299,14519,-1.38354325
27040,54.081268,12889,-1.58062315
27041,54.083271,-14642,-1.76705015
27042,54.085273,-6807,-1.82138014
27043,54.087274,-3610,-1.78302956
27044,54.089276,10744,-1.70845878
27045,54.091292,-11927,-1.62536573
27046,54.093273,15874,-1.58275378
27047,54.095275,13652,-1.5710355
27048,54.097278,17431,-1.6179086
27049,54.099268,3267,-1.69354463
27050,54.101270,-6103,-1.73189533
27051,54.103299,-17383,-1.75639725
27052,54.105279,-11331,-1.70632815
27053,54.107269,-13801,-1.53055418
27054,54.109271,-14254,-1.21096516
27055,54.111273,-3838,-0.827458203
27056,54.113296,-8349,-0.51213032
27057,54.115298,6909,-0.312919796
27058,54.117278,-13566,-0.242610201
27059,54.119268,-12438,-0.320376873
27060,54.121270,8249,-0.455669582
27061,54.123275,16534,-0.60161525
27062,54.125297,-1898,-0.680447221
27063,54.127276,-6418,-0.727320254
27064,54.129278,-17238,-0.843437672
27065,54.131269,13972,-1.10017419
27066,54.133273,-15014,-1.40058792
27067,54.135275,-3046,-1.40058792
27068,54.137292,5973,-1.93643236
27069,54.139271,-624,-1.93643236
27070,54.141273,-624,-2.01632953
27071,54.143278,13556,-2.006742
27072,54.145268,11383,-1.97904432
27073,54.147292,-15643,-1.9513464
27074,54.149271,-13031,-1.94921589
27075,54.151274,8489,-1.9651953
27076,54.153277,-11827,-1.96732593
27077,54.155268,16525,-2.00141549
27078,54.157270,-3718,-2.08663917
27079,54.159294,13323,-2.20595241
27080,54.161273,-3920,-2.27626204
27081,54.163277,-9814,-2.33059216
27082,54.165279,-12197,-2.34444118
27083,54.167269,-1649,-2.18038535
27084,54.169295,-2952,-1.89275515
27085,54.171385,-11049,-1.54653358
27086,54.173268,-11049,-1.20457327
27087,54.175270,12929,-0.971273303
27088,54.177272,-4272,-0.884984255
27089,54.179273,5213,-0.953163266
27090,54.181275,1063,-1.12361085
27091,54.183302,11051,-1.2312057
27092,54.185292,16887,-1.29086244
27093,54.187271,204,-1.2919277
27094,54.189273,-16603,-1.24398935
27095,54.191275,12275,-1.16196144
27096,54.193268,-14985,-1.02027702
27097,54.195293,-3912,-0.839176476
27098,54.197272,-2515,-0.599484682
27099,54.199274,-7991,-0.261785537
27100,54.201277,17912,0.0333017148
27101,54.203270,-13877,0.201618642
27102,54.205272,-15663,0.236773431
27103,54.207296,-218,0.13343963
27104,54.209275,-10101,-0.035942588
27105,54.211276,-7541,-0.201063618
27106,54.213269,-15437,-0.312919796
27107,54.215271,-9349,-0.311854511
27108,54.217273,12227,-0.276699692
27109,54.219300,11541,-0.225565448
27110,54.221288,-4722,-0.173365891
27111,54.223270,-17954,-0.138211086
27112,54.225271,-3983,-0.199998319
27113,54.227273,16016,-0.433298349
27114,54.229275,-16946,-0.801891088
27115,54.231291,-11975,-1.17581022
27116,54.233272,-5604,-1.49220347
27117,54.235274,6789,-1.72124231
27118,54.237276,-4794,-1.81179249
27119,54.239279,-11024,-1.79155195
27120,54.241269,-911,-1.73935246
27121,54.243292,8984,-1.7191118
27122,54.245271,-3485,-1.7297647
27123,54.247273,276,-1.73828709
27124,54.249275,-6322,-1.78302956
27125,54.251277,-17600,-1.84375155
27126,54.253270,6510,-1.92577934
27127,54.255294,-15335,-1.97478306
27128,54.257273,8843,-1.98117483
27129,54.259275,-7492,-2.03443956
27130,54.261277,-3194,-2.10368395
27131,54.263269,5046,-2.0589416
27132,54.265325,-13502,-2.01100302
27133,54.267277,-6430,-1.9438895
27134,54.269279,9745,-1.86718798
27135,54.271269,16150,-1.84375155
27136,54.273272,7783,-1.83735967
27137,54.275275,-16637,-1.8448168
27138,54.277295,-14898,-1.94708526
27139,54.279275,6786,-2.08450866
27140,54.281277,2192,-2.1782546
27141,54.283270,-17862,-2.22299719
27142,54.285271,-670,-2.21873593
27143,54.287273,13058,-2.23791122
27144,54.289297,-7199,-2.23897672
27145,54.291276,3848,-2.26134777
27146,54.293269,9892,-2.31674314
27147,54.295271,11135,-2.33272266
27148,54.297273,-5531,-2.33059216
27149,54.299373,-3545,-2.31354737
27150,54.301270,108,-2.28052306
27151,54.303275,-10201,-2.26880503
27152,54.305277,-17111,-2.26773977
27153,54.307278,-6861,-2.27839255
27154,54.309269,-15121,-2.31567788
27155,54.311328,-11869,-2.29437208
27156,54.313273,-874,-2.26241302
27157,54.315274,-8757,-2.22193193
27158,54.317277,-9957,-2.2006259
27159,54.319268,9297,-2.19423413
27160,54.321270,9276,-2.18251586
27161,54.323293,-7853,-2.18038535
27162,54.325272,9730,-2.19956064
27163,54.327275,-5581,-2.17505884
27164,54.329277,-8336,-2.17399359
27165,54.331268,-8547,-2.14842629
27166,54.333272,-12476,-2.14096928
27167,54.335292,-16101,-2.12072873
27168,54.337291,-12902,-2.10155344
27169,54.339270,10395,-2.12392473
27170,54.341272,11427,-2.17399359
27171,54.343277,-10694,-2.1761241
27172,54.345279,-11998,-2.23258495
27173,54.347291,-5066,-2.34444118
27174,54.349270,11440,-2.58839417
27175,54.351272,-11700,-2.86856723
27176,54.353276,-13117,-3.12530375
27177,54.355278,-14867,-3.35860372
27178,54.357268,-7019,-3.52692056
27179,54.359297,15878,-3.55568361
27180,54.361276,-10762,-3.50987577
27181,54.363268,5771,-3.45128441
27182,54.365270,-16748,-3.43956637
27183,54.367272,17251,-3.46619868
27184,54.369273,-12119,-3.52265954
27185,54.371291,-12330,-3.62492776
27186,54.373272,-11982,-3.72719646
27187,54.375274,-9674,-3.7719388
27188,54.377276,2777,-3.84757495
27189,54.379278,4335,-3.91042757
27190,54.381290,-7666,-3.94238663
27191,54.383272,-17850,-3.95303941
27192,54.385274,8201,-3.98286772
27193,54.387276,-3358,-4.05956888
27194,54.389278,15132,-4.16077232
27195,54.391269,-12181,-4.17568636
27196,54.393329,1620,-4.20018816
27197,54.395296,-15632,-4.23960447
27198,54.397275,14840,-4.29393435
27199,54.399278,-10875,-4.3258934
27200,54.401269,-14285,-4.34506893
27201,54.403273,-2066,-4.39194155
27202,54.405308,9316,-4.43029213
27203,54.407290,-8223,-4.41537809
27204,54.409269,-6214,-4.42496586
27205,54.411270,17461,-4.44733715
27206,54.413274,-12782,-4.50805902
27207,54.415277,4374,-4.56664991
27208,54.417312,12862,-4.6050005
27209,54.419299,2195,-4.65933084
27210,54.421278,3495,-4.69235516
27211,54.423271,-14694,-4.64335203
27212,54.425272,2445,-4.58902121
27213,54.427274,-17496,-4.52616882
27214,54.429420,3532,-4.46970844
27215,54.431270,5105,-4.42283535
27216,54.433274,2185,-4.38235378
27217,54.435276,17940,-4.35891724
27218,54.437278,-8501,-4.29606485
27219,54.439268,5422,-4.12242174
27220,54.441270,-2339,-3.9200151
27221,54.443296,-12269,-3.6803236
27222,54.445277,-16291,-3.42039108
27223,54.447297,5179,-3.15300131
27224,54.449277,-2062,-2.93355012
27225,54.451278,6200,-2.80891061
27226,54.453281,-8228,-2.73753572
27227,54.455299,5686,-2.72794795
27228,54.457278,-12722,-2.76097202
27229,54.459268,-593,-2.79932284
27230,54.461270,7900,-2.84513068
27231,54.463275,-14407,-2.81849813
27232,54.465299,-13875,-2.78227806
27233,54.467268,10787,-2.74925399
27234,54.469269,2127,-2.72688246
27235,54.471271,138,-2.72688246
27236,54.473275,3463,-2.84513068
27237,54.475277,-12097,-3.08695316
27238,54.477291,-14036,-3.4491539
27239,54.479270,7048,-3.79217982
27240,54.481272,-6927,-4.01269627
27241,54.483276,7439,-4.16503334
27242,54.485277,-2389,-4.18420887
27243,54.487301,4606,-4.11283398
27244,54.489291,4533,-4.05530787
27245,54.491270,5980,-3.99884725
27246,54.493274,5283,-3.97647595
27247,54.495276,348,-3.9509089
27248,54.497278,-3348,-3.93812513
27249,54.499268,11254,-4.00204325
27250,54.501297,-5069,-4.06276512
27251,54.503279,-15591,-4.03932858
27252,54.505296,11081,-4.02015305
27253,54.507275,1497,-3.95836592
27254,54.509277,12098,-3.79750609
27255,54.511390,2655,-3.56207538
27256,54.513269,9434,-3.34155893
27257,54.515270,-11417,-3.1785686
27258,54.517272,-4614,-3.01025176
27259,54.519274,-13986,-2.84513068
27260,54.521276,9896,-2.75564575
27261,54.523299,3870,-2.6778791
27262,54.525278,-15031,-2.6065042
27263,54.527269,-9608,-2.56815338
27264,54.529270,8395,-2.58732867
27265,54.531272,-17282,-2.65444231
27266,54.533277,7879,-2.7045114
27267,54.535290,-2756,-2.67148709
27268,54.537269,-12075,-2.62887526
27269,54.539271,-5204,-2.58945942
27270,54.541272,-17594,-2.53512931
27271,54.543276,-10293,-2.52660704
27272,54.545268,338,-2.61396122
27273,54.547289,4343,-2.83980393
27274,54.549268,16449,-3.14767504
27275,54.551270,-15305,-3.43850088
27276,54.553274,12130,-3.81987739
27277,54.555276,-2118,-4.19166565
27278,54.557268,-10478,-4.42816162
27279,54.559289,-7287,-4.51232004
27280,54.561268,6697,-4.47503471
27281,54.563272,1225,-4.33228493
27282,54.565290,-14266,-4.20231915
27283,54.567269,-3910,-4.11070347
27284,54.569304,8839,-4.0276103
27285,54.571298,-1822,-3.99032474
27286,54.573268,-12675,-4.05637312
27287,54.575270,-12684,-4.10431147
27288,54.577272,9450,-4.16929483
27289,54.579274,-2576,-4.25451851
27290,54.581291,2657,-4.27262878
27291,54.583272,-15668,-4.21723318
27292,54.585274,12044,-4.16716433
27293,54.587276,4268,-4.09365845
27294,54.589278,11684,-4.02441406
27295,54.591269,549,-3.95730042
27296,54.593296,1334,-3.89657879
27297,54.595276,-6869,-3.88699102
27298,54.597278,14934,-3.87846851
27299,54.599268,-9760,-3.82307315
27300,54.601270,-8408,-3.80815887
27301,54.603288,-15197,-3.80496311
27302,54.605268,17157,-3.81774664
27303,54.607270,3668,-3.7996366
27304,54.609272,-8722,-3.79431033
27305,54.611274,17706,-3.82946491
27306,54.613278,-6242,-3.84331369
27307,54.615291,-12126,-3.78898358
27308,54.617270,-16381,-3.76022077
27309,54.619272,-17394,-3.75276351
27310,54.621294,15234,-3.72080469
27311,54.623275,-16165,-3.66967058
27312,54.625293,-13985,-3.6494298
27313,54.627273,-8671,-3.66860509
27314,54.629275,14552,-3.66221356
27315,54.631277,4899,-3.62705874
27316,54.633270,9355,-3.64836454
27317,54.635272,-10943,-3.71441293
27318,54.637294,-4228,-3.8241384
27319,54.639273,-15318,-4.00204325
27320,54.641275,4554,-4.21829844
27321,54.643268,-16078,-4.48355675
27322,54.645269,4647,-4.68276787
